Location,White,Black,Hispanic,Asian,American Indian/Alaska Native,Native Hawaiian/Other Pacific Islander,Multiple Races,Total,Timeframe
Alabama,3145700,1220200,179400,56700,23800,N/A,69100,4696000,2012
Alaska,446300,23600,40300,42000,1.00E+05,6800,47200,706200,2012
Arizona,3651000,247400,1920600,185200,253800,8400,120000,6386300,2012
Arkansas,2122600,438300,192100,35800,13700,5000,52800,2860200,2012
California,14578700,2046600,14271100,4969400,139300,125200,1091100,37221500,2012
Colorado,3517600,188200,1057400,144000,26100,4900,107600,5045900,2012
Connecticut,2440900,327200,495900,141500,5300,N/A,65900,3479300,2012
Delaware,572800,181900,77200,29600,2000,N/A,24300,888000,2012
District of Columbia,207600,293900,61500,20000,1600,N/A,11400,596000,2012
Florida,10737900,2856600,4413400,473900,39500,10000,345600,18876900,2012
Georgia,5320600,2897000,880600,325300,17400,N/A,173800,9616400,2012
Hawaii,288800,16500,123200,516200,2300,125600,257700,1330300,2012
Idaho,1305400,6100,180000,18900,14500,N/A,36200,1562500,2012
Illinois,7915300,1750100,2067800,590500,12500,N/A,227400,12567900,2012
Indiana,5142300,561600,399200,101900,11500,N/A,119700,6338800,2012
Iowa,2622600,84300,156000,53500,4200,2500,52900,2976000,2012
Kansas,2167400,152100,306900,66700,23900,N/A,69500,2787500,2012
Kentucky,3653900,322500,127100,53900,5900,N/A,69600,4235100,2012
Louisiana,2678500,1414000,199900,71400,20200,N/A,71400,4457000,2012
Maine,1218200,10300,18900,12300,8200,N/A,24700,1292600,2012
Maryland,3084300,1637300,498100,330600,12700,N/A,156900,5722700,2012
Massachusetts,4830400,405100,650300,369400,8000,N/A,146100,6410600,2012
Michigan,7383900,1330200,441400,231000,44800,N/A,226800,9659300,2012
Minnesota,4332800,269200,257500,220800,52800,N/A,119400,5256300,2012
Mississippi,1669200,1082700,68500,22500,11500,N/A,29600,2884500,2012
Missouri,4717300,653900,209300,97300,23300,N/A,125500,5830600,2012
Montana,853800,N/A,29600,5600,66000,N/A,21000,978700,2012
Nebraska,1463200,80500,173800,35500,13400,N/A,26900,1795100,2012
Nevada,1434800,210500,741300,202800,23800,18100,79600,2710900,2012
New Hampshire,1176100,13500,38600,27900,3200,N/A,20900,1280100,2012
New Jersey,5044400,1078000,1616200,768100,7500,N/A,168800,8685500,2012
New Mexico,812200,34000,960400,25900,178400,N/A,27500,2039200,2012
New York,10922400,2719700,3476600,1456800,42600,N/A,413700,19040100,2012
North Carolina,6107600,1992500,818900,219500,98300,6400,196000,9439200,2012
North Dakota,593700,10800,14700,7200,34200,N/A,8700,671900,2012
Ohio,9073800,1333600,359300,190000,19500,3700,242100,11222100,2012
Oklahoma,2510800,253500,346000,65800,272100,3.20E+03,238000,3689500,2012
Oregon,2975500,62700,464200,144200,39800,15300,123800,3825500,2012
Pennsylvania,9760800,1262300,750700,349500,13000,N/A,209400,12347600,2012
Rhode Island,759200,48300,135700,30800,2700,N/A,31100,1007900,2012
South Carolina,2937500,1238900,234900,57400,13200,N/A,85500,4569100,2012
South Dakota,672600,14900,22100,7100,69900,N/A,13400,800400,2012
Tennessee,4728400,1037000,298900,92000,11900,2600,106800,6277400,2012
Texas,11265800,2874000,9756900,1027500,58600,16300,385300,25384300,2012
Utah,2240100,25100,369300,61900,23800,23400,58300,2801700,2012
Vermont,566700,5600,8300,9100,N/A,N/A,9000,600700,2012
Virginia,5047300,1470000,658500,463400,14500,4000,207900,7865500,2012
Washington,4827200,231100,787000,487500,77900,37300,285000,6732900,2012
West Virginia,1680700,55200,21500,11100,N/A,N/A,31100,1801800,2012
Wisconsin,4625000,322100,343400,135700,46400,N/A,93100,5566100,2012
Wyoming,474000,4300,53100,5200,9300,N/A,13000,559000,2012
Puerto Rico,22900,N/A,3601200,N/A,N/A,N/A,6100,3634000,2012
