INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
194765,2017,IL0100600,Urbana,,City,IL,Illinois,East North Central,Midwest,4,"Cities from 25,000 thru 49,999",17-Apr-17,1,0,1,1,0,Black or African American,Unknown,1,Robbery,1,Air/Bus/Train Terminal,Anti-White,Individual,S,S
194687,2017,IL0150200,Charleston,,City,IL,Illinois,East North Central,Midwest,5,"Cities from 10,000 thru 24,999",16-Sep-17,3,0,2,2,0,White,Unknown,2,Aggravated Assault,3,Restaurant,Anti-Black or African American,Individual,S,S
194864,2017,IL0160900,Berwyn,,City,IL,Illinois,East North Central,Midwest,3,"Cities from 50,000 thru 99,999",27-Feb-17,1,0,1,1,0,White,Unknown,1,Aggravated Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
194865,2017,IL0160900,Berwyn,,City,IL,Illinois,East North Central,Midwest,3,"Cities from 50,000 thru 99,999",15-Aug-17,2,0,3,3,0,Unknown,Unknown,2,Simple Assault,2,Bar/Nightclub,Anti-Gay (Male),Individual,S,S
194867,2017,IL0160900,Berwyn,,City,IL,Illinois,East North Central,Midwest,3,"Cities from 50,000 thru 99,999",1-Dec-17,0,1,1,1,0,White,Unknown,1,Intimidation,1,Highway/Road/Alley/Street/Sidewalk,Anti-Islamic (Muslim),Individual,S,S
293790,2017,IL0161700,Calumet City,,City,IL,Illinois,East North Central,Midwest,4,"Cities from 25,000 thru 49,999",4-Jul-17,3,0,1,1,0,White,Unknown,3,Aggravated Assault,3,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
194774,2017,IL0163500,Forest Park,,City,IL,Illinois,East North Central,Midwest,5,"Cities from 10,000 thru 24,999",9-Sep-17,1,0,1,1,0,White,Unknown,1,Aggravated Assault,1,Bar/Nightclub,Anti-Gay (Male),Individual,S,S
597080,2017,IL0163C00,Winnetka,,City,IL,Illinois,East North Central,Midwest,5,"Cities from 10,000 thru 24,999",7-Dec-17,1,0,1,1,0,White,Unknown,1,Intimidation,1,Parking/Drop Lot/Garage,Anti-Black or African American,Individual,S,S
194721,2017,IL0164A00,Skokie,,City,IL,Illinois,East North Central,Midwest,3,"Cities from 50,000 thru 99,999",8-Jun-17,1,0,2,2,0,White,Unknown,1,Simple Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
193073,2017,IL0165200,Homewood,,City,IL,Illinois,East North Central,Midwest,5,"Cities from 10,000 thru 24,999",23-Jun-17,1,0,0,,,Unknown,Unknown,1,Destruction/Damage/Vandalism of Property,1,Residence/Home,Anti-Black or African American,Individual,S,S
194540,2017,IL0165200,Homewood,,City,IL,Illinois,East North Central,Midwest,5,"Cities from 10,000 thru 24,999",1-Jul-17,1,0,0,,,Unknown,Unknown,1,Destruction/Damage/Vandalism of Property,1,Residence/Home,Anti-Black or African American,Individual,S,S
194775,2017,IL0167200,Mount Prospect,,City,IL,Illinois,East North Central,Midwest,3,"Cities from 50,000 thru 99,999",29-Jul-17,,,1,1,0,Asian,Unknown,1,Destruction/Damage/Vandalism of Property,,Church/Synagogue/Temple/Mosque,Anti-Other Religion,Religious Organization,S,S
194866,2017,IL0167200,Mount Prospect,,City,IL,Illinois,East North Central,Midwest,3,"Cities from 50,000 thru 99,999",4-Jul-17,1,0,1,1,0,Asian,Unknown,1,Not Specified,1,Residence/Home,Anti-Buddhist,Individual,S,S
194688,2017,IL0168100,Oak Park,,City,IL,Illinois,East North Central,Midwest,3,"Cities from 50,000 thru 99,999",19-Aug-17,,,0,,,Unknown,Unknown,1,Destruction/Damage/Vandalism of Property,,Church/Synagogue/Temple/Mosque,Anti-Black or African American,Religious Organization,S,S
194716,2017,IL0190800,DeKalb,,City,IL,Illinois,East North Central,Midwest,4,"Cities from 25,000 thru 49,999",13-Nov-17,1,0,1,1,0,White,Unknown,1,Simple Assault,1,Department/Discount Store,Anti-Islamic (Muslim),Individual,S,S
194542,2017,IL0221900,West Chicago,,City,IL,Illinois,East North Central,Midwest,4,"Cities from 25,000 thru 49,999",11-Aug-17,,,0,,,Unknown,Unknown,2,Destruction/Damage/Vandalism of Property;Not Specified,,Church/Synagogue/Temple/Mosque,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Religious Organization,M,S
192582,2017,IL0222100,Wheaton,,City,IL,Illinois,East North Central,Midwest,3,"Cities from 50,000 thru 99,999",8-May-17,,,1,1,0,White,Unknown,1,Destruction/Damage/Vandalism of Property,,Church/Synagogue/Temple/Mosque,Anti-Other Christian,Religious Organization,S,S
191188,2017,IL0450100,Aurora,,City,IL,Illinois,East North Central,Midwest,2,"Cities from 100,000 thru 249,999",7-Feb-17,2,2,0,,,Unknown,Unknown,4,Arson,4,Residence/Home,Anti-Black or African American,Individual,S,S
193989,2017,IL0450100,Aurora,,City,IL,Illinois,East North Central,Midwest,2,"Cities from 100,000 thru 249,999",8-Jun-17,1,0,2,,,White,Unknown,1,Destruction/Damage/Vandalism of Property,1,Residence/Home,Anti-Black or African American,Individual,S,S
193983,2017,IL0490000,Lake,,County,IL,Illinois,East North Central,Midwest,9A,"MSA counties 100,000 or over",22-Mar-17,2,0,1,1,0,White,Unknown,2,Destruction/Damage/Vandalism of Property,2,Residence/Home,Anti-Islamic (Muslim),Individual,S,S
194869,2017,IL0490400,Fox Lake,,City,IL,Illinois,East North Central,Midwest,5,"Cities from 10,000 thru 24,999",11-Apr-17,0,1,3,0,3,White,Unknown,1,Simple Assault,1,School-Elementary/Secondary,Anti-Arab,Individual,S,S
193074,2017,IL0530200,Pontiac,,City,IL,Illinois,East North Central,Midwest,5,"Cities from 10,000 thru 24,999",21-Jun-17,0,1,2,2,0,White,Unknown,1,Aggravated Assault,1,Grocery/Supermarket,Anti-Black or African American,Individual,S,S
194792,2017,IL0560400,Fox River Grove,,City,IL,Illinois,East North Central,Midwest,6,"Cities from 2,500 thru 9,999",15-Oct-17,1,0,1,1,0,White,Unknown,1,Aggravated Assault,1,Service/Gas Station,Anti-Other Race/Ethnicity/Ancestry,Individual,S,S
194834,2017,IL0570100,Bloomington,,City,IL,Illinois,East North Central,Midwest,3,"Cities from 50,000 thru 99,999",16-Apr-17,1,0,1,1,0,Black or African American,Unknown,1,Aggravated Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
194764,2017,IL0571500,Illinois State University,,University or College,IL,Illinois,East North Central,Midwest,7,"Cities under 2,500",18-Oct-17,1,0,1,,,Unknown,Unknown,1,Aggravated Assault,1,Residence/Home,Anti-Jewish,Individual,S,S
194353,2017,IL0580000,Macon,,County,IL,Illinois,East North Central,Midwest,9C,"MSA counties from 10,000 thru 24,999",18-Jul-17,,,0,,,Unknown,Unknown,1,Destruction/Damage/Vandalism of Property,,Park/Playground,Anti-Black or African American,Government,S,S
194762,2017,IL0580200,Decatur,,City,IL,Illinois,East North Central,Midwest,3,"Cities from 50,000 thru 99,999",12-Aug-17,1,0,1,1,0,Black or African American,Unknown,1,Aggravated Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
193985,2017,IL0610500,Sandoval,,City,IL,Illinois,East North Central,Midwest,7,"Cities under 2,500",4-Jul-17,1,0,1,1,0,White,Unknown,1,Intimidation,1,Convenience Store,Anti-Black or African American,Individual,S,S
194717,2017,IL0720000,Peoria,,County,IL,Illinois,East North Central,Midwest,9B,"MSA counties from 25,000 thru 99,999",20-Oct-17,1,0,1,0,1,White,Unknown,1,Aggravated Assault,1,School-Elementary/Secondary,Anti-Black or African American,Individual,S,S
194835,2017,IL0720700,Peoria,,City,IL,Illinois,East North Central,Midwest,2,"Cities from 100,000 thru 249,999",29-Apr-17,1,0,3,,,White,Unknown,1,Simple Assault,1,Parking/Drop Lot/Garage,Anti-Gay (Male),Individual,S,S
193986,2017,IL0840200,Springfield,,City,IL,Illinois,East North Central,Midwest,2,"Cities from 100,000 thru 249,999",25-Jul-17,1,0,0,,,Unknown,Unknown,1,Destruction/Damage/Vandalism of Property,1,Residence/Home,Anti-Black or African American,Individual,S,S
193987,2017,IL0840200,Springfield,,City,IL,Illinois,East North Central,Midwest,2,"Cities from 100,000 thru 249,999",23-Jul-17,1,0,4,4,0,Black or African American,Unknown,1,Aggravated Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
194689,2017,IL0840200,Springfield,,City,IL,Illinois,East North Central,Midwest,2,"Cities from 100,000 thru 249,999",19-Sep-17,1,0,1,1,0,White,Unknown,1,Aggravated Assault,1,Residence/Home,Anti-Black or African American,Individual,S,S
194768,2017,IL0900300,East Peoria,,City,IL,Illinois,East North Central,Midwest,5,"Cities from 10,000 thru 24,999",2-Mar-17,0,6,1,0,1,White,Unknown,6,Aggravated Assault,6,School-Elementary/Secondary,Anti-Black or African American,Individual,S,S
194793,2017,IL0900900,Pekin,,City,IL,Illinois,East North Central,Midwest,4,"Cities from 25,000 thru 49,999",6-Dec-17,0,1,1,0,1,White,Unknown,1,Simple Assault,1,School-Elementary/Secondary,Anti-Black or African American,Individual,S,S
194766,2017,IL0990000,Will,,County,IL,Illinois,East North Central,Midwest,9A,"MSA counties 100,000 or over",5-Jun-17,1,0,1,1,0,White,Unknown,1,Simple Assault,1,Industrial Site,Anti-Islamic (Muslim),Individual,S,S
597079,2017,IL0991100,Plainfield,,City,IL,Illinois,East North Central,Midwest,4,"Cities from 25,000 thru 49,999",19-Sep-17,1,0,1,0,1,Black or African American,Unknown,1,Simple Assault,1,School-Elementary/Secondary,Anti-Islamic (Muslim),Individual,S,S
194820,2017,IL0991500,New Lenox,,City,IL,Illinois,East North Central,Midwest,4,"Cities from 25,000 thru 49,999",4-Mar-17,0,1,1,0,1,Unknown,Unknown,1,Simple Assault,1,Grocery/Supermarket,Anti-Mental Disability,Individual,S,S
194718,2017,IL0991600,Manhattan,,City,IL,Illinois,East North Central,Midwest,6,"Cities from 2,500 thru 9,999",21-Oct-17,2,0,1,1,0,White,Hispanic or Latino,2,Intimidation,2,Residence/Home,Anti-White,Individual,S,S
194719,2017,IL1010000,Winnebago,,County,IL,Illinois,East North Central,Midwest,9B,"MSA counties from 25,000 thru 99,999",7-Nov-17,,,1,1,0,White,Unknown,1,Destruction/Damage/Vandalism of Property,,Church/Synagogue/Temple/Mosque,Anti-Jewish,Religious Organization,S,S
694909,2017,IL1010400,Rockford,,City,IL,Illinois,East North Central,Midwest,2,"Cities from 100,000 thru 249,999",2-May-17,1,0,1,1,0,White,Not Hispanic or Latino,1,Intimidation,1,Drug Store/Doctor's Office/Hospital,Anti-Lesbian (Female),Individual,S,S
694912,2017,IL1010400,Rockford,,City,IL,Illinois,East North Central,Midwest,2,"Cities from 100,000 thru 249,999",12-Dec-17,1,0,2,2,0,Black or African American,Not Hispanic or Latino,1,Robbery,1,Parking/Drop Lot/Garage,Anti-Gay (Male),Individual,S,S
694932,2017,IL1010400,Rockford,,City,IL,Illinois,East North Central,Midwest,2,"Cities from 100,000 thru 249,999",5-Sep-17,1,0,0,,,Unknown,Unknown,1,Simple Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic or Latino,Individual,S,S
694956,2017,IL1010400,Rockford,,City,IL,Illinois,East North Central,Midwest,2,"Cities from 100,000 thru 249,999",22-May-17,1,0,0,,,Unknown,Unknown,1,Destruction/Damage/Vandalism of Property,1,Residence/Home,Anti-Black or African American,Individual,S,S
194821,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",25-Jan-17,1,0,2,2,0,Black or African American,Unknown,1,Simple Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
194822,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",13-Jan-17,1,0,1,1,0,White,Unknown,1,Simple Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
194823,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",26-Jan-17,1,0,0,,,Unknown,Unknown,1,Destruction/Damage/Vandalism of Property,1,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
194824,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",3-Jan-17,1,0,4,4,0,Black or African American,Unknown,1,Intimidation,1,Residence/Home,Anti-White,Individual,S,S
194825,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",11-Jan-17,1,0,0,,,Unknown,Unknown,1,Destruction/Damage/Vandalism of Property,1,Parking/Drop Lot/Garage,Anti-Black or African American,Individual,S,S
194826,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",10-Feb-17,,,0,,,Unknown,Unknown,1,Destruction/Damage/Vandalism of Property,,Other/Unknown,Anti-Jewish,Other,S,S
194827,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",7-Jan-17,1,0,1,1,0,White,Unknown,1,Aggravated Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
194828,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",15-Jan-17,1,0,1,1,0,Unknown,Unknown,1,Simple Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
194829,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",25-Feb-17,2,0,1,1,0,Black or African American,Unknown,2,Intimidation,2,Church/Synagogue/Temple/Mosque,Anti-Jewish,Individual,S,S
194830,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",24-Jan-17,1,0,1,1,0,Black or African American,Unknown,1,Aggravated Assault,1,Parking/Drop Lot/Garage,Anti-Gay (Male),Individual,S,S
194831,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",20-Feb-17,,,0,,,Unknown,Unknown,1,Arson,,Church/Synagogue/Temple/Mosque,Anti-Jewish,Religious Organization,S,S
194832,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",4-Feb-17,,,1,1,0,White,Unknown,1,Destruction/Damage/Vandalism of Property,,Church/Synagogue/Temple/Mosque,Anti-Jewish,Religious Organization,S,S
194833,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",21-Feb-17,1,0,0,,,Unknown,Unknown,1,Destruction/Damage/Vandalism of Property,1,Residence/Home,Anti-Jewish,Individual,S,S
194836,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",21-Jun-17,1,0,0,,,Unknown,Unknown,1,Intimidation,1,Residence/Home,Anti-Gay (Male),Individual,S,S
194837,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",6-Jun-17,3,0,1,1,0,White,Unknown,3,Simple Assault,3,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
194838,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",16-Jun-17,1,0,1,1,0,White,Unknown,1,Intimidation,1,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
194839,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",2-Apr-17,1,0,1,1,0,Black or African American,Unknown,1,Intimidation,1,Residence/Home,Anti-Islamic (Muslim),Individual,S,S
194840,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",30-Apr-17,1,0,1,1,0,Black or African American,Unknown,1,Aggravated Assault,1,Restaurant,Anti-Arab,Individual,S,S
194841,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",28-Feb-17,1,0,0,,,Unknown,Unknown,1,Intimidation,1,Church/Synagogue/Temple/Mosque,Anti-Islamic (Muslim),Individual,S,S
194842,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",1-Mar-17,1,0,0,,,Unknown,Unknown,1,Intimidation,1,Church/Synagogue/Temple/Mosque,Anti-Islamic (Muslim),Individual,S,S
194843,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",7-Mar-17,1,0,0,,,Unknown,Unknown,1,Intimidation,1,School-Elementary/Secondary,Anti-Jewish,Individual,S,S
194844,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",24-Feb-17,1,0,1,1,0,Black or African American,Unknown,1,Intimidation,1,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
194845,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",31-Mar-17,1,0,0,,,Unknown,Unknown,1,Intimidation,1,Other/Unknown,Anti-Jewish,Individual,S,S
194846,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",13-Oct-17,1,0,3,3,0,White,Hispanic or Latino,1,Simple Assault,1,Parking/Drop Lot/Garage,Anti-Islamic (Muslim),Individual,S,S
194847,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",13-Oct-17,1,0,0,,,Unknown,Unknown,1,Destruction/Damage/Vandalism of Property,1,Residence/Home,Anti-Islamic (Muslim),Individual,S,S
194848,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",16-Oct-17,1,0,3,3,0,Black or African American,Unknown,1,Aggravated Assault,1,Residence/Home,Anti-Gay (Male),Individual,S,S
194849,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",26-Oct-17,1,0,2,2,0,Black or African American,Unknown,1,Simple Assault,1,Residence/Home,Anti-Transgender,Individual,S,S
194850,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",3-Dec-17,1,0,3,3,0,White,Unknown,1,Simple Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
194851,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",7-Dec-17,1,0,1,1,0,White,Unknown,1,Simple Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
194852,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",6-Oct-17,1,0,0,,,Unknown,Unknown,1,Destruction/Damage/Vandalism of Property,1,Highway/Road/Alley/Street/Sidewalk,Anti-Jewish,Individual,S,S
194854,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",17-Jul-17,0,1,5,0,5,White,Unknown,1,Aggravated Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
194855,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",3-Aug-17,1,0,1,1,0,Black or African American,Unknown,1,Intimidation,1,Drug Store/Doctor's Office/Hospital,Anti-Islamic (Muslim),Individual,S,S
194856,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",20-Sep-17,1,0,1,1,0,Black or African American,Unknown,1,Aggravated Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
194857,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",25-Aug-17,2,0,1,1,0,Asian,Unknown,2,Simple Assault,2,Other/Unknown,Anti-Jewish,Individual,S,S
194858,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",25-Aug-17,1,0,0,,,Unknown,Unknown,1,Destruction/Damage/Vandalism of Property,1,Other/Unknown,Anti-Jewish,Individual,S,S
194859,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",22-Jul-17,1,0,0,,,Unknown,Unknown,1,Destruction/Damage/Vandalism of Property,1,Other/Unknown,Anti-Jewish,Individual,S,S
194860,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",21-Jul-17,1,0,0,,,Unknown,Unknown,1,Intimidation,1,Residence/Home,Anti-Hispanic or Latino,Individual,S,S
194861,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",22-Sep-17,1,0,1,1,0,Black or African American,Unknown,1,Simple Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Other Race/Ethnicity/Ancestry,Individual,S,S
194862,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",23-Sep-17,1,0,0,,,Unknown,Unknown,1,Destruction/Damage/Vandalism of Property,1,Residence/Home,Anti-White,Individual,S,S
194863,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",23-Sep-17,1,0,0,,,Unknown,Unknown,1,Destruction/Damage/Vandalism of Property,1,Other/Unknown,Anti-Black or African American,Individual,S,S
194868,2017,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",5-Oct-17,1,0,1,1,0,White,Unknown,1,Intimidation,1,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
390816,2018,IL0010300,Quincy,,City,IL,Illinois,East North Central,Midwest,4,"Cities from 25,000 thru 49,999",11-Jun-18,4,0,1,1,0,Black or African American,Unknown,4,Aggravated Assault,4,Residence/Home,Anti-White,Individual,S,S
310028,2018,IL0100100,Champaign,,City,IL,Illinois,East North Central,Midwest,3,"Cities from 50,000 thru 99,999",21-Sep-18,1,0,2,2,0,White,Unknown,1,Aggravated Assault,1,Bar/Nightclub,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Individual,S,S
361709,2018,IL0160500,Bartlett,,City,IL,Illinois,East North Central,Midwest,4,"Cities from 25,000 thru 49,999",21-Nov-18,1,0,1,1,0,White,Unknown,1,Intimidation,1,Residence/Home,Anti-Black or African American,Individual,S,S
293538,2018,IL0161700,Calumet City,,City,IL,Illinois,East North Central,Midwest,4,"Cities from 25,000 thru 49,999",15-Feb-18,1,1,1,1,0,White,Unknown,2,Intimidation,2,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
390905,2018,IL0161C00,Willow Springs,,City,IL,Illinois,East North Central,Midwest,6,"Cities from 2,500 thru 9,999",21-Apr-18,1,0,1,1,0,White,Unknown,1,Aggravated Assault,1,Bar/Nightclub,Anti-Arab,Individual,S,S
597081,2018,IL0162300,Countryside,,City,IL,Illinois,East North Central,Midwest,6,"Cities from 2,500 thru 9,999",18-May-18,1,0,1,1,0,White,Unknown,1,Intimidation,1,Restaurant,Anti-Hispanic or Latino,Individual,S,S
310029,2018,IL0163200,Evanston,,City,IL,Illinois,East North Central,Midwest,3,"Cities from 50,000 thru 99,999",5-Jul-18,1,0,1,,,White,Unknown,1,Aggravated Assault,1,Residence/Home,Anti-Gay (Male),Individual,S,S
293533,2018,IL0164400,Harwood Heights,,City,IL,Illinois,East North Central,Midwest,6,"Cities from 2,500 thru 9,999",17-Apr-18,1,0,1,1,0,White,Unknown,1,Intimidation,1,Residence/Home,Anti-Other Race/Ethnicity/Ancestry,Individual,S,S
352809,2018,IL0164A00,Skokie,,City,IL,Illinois,East North Central,Midwest,3,"Cities from 50,000 thru 99,999",7-May-18,1,0,1,1,0,White,Hispanic or Latino,1,Destruction/Damage/Vandalism of Property,1,Parking/Drop Lot/Garage,Anti-Jewish,Individual,S,S
310437,2018,IL0168300,Orland Park,,City,IL,Illinois,East North Central,Midwest,3,"Cities from 50,000 thru 99,999",26-Oct-18,,,1,1,0,Black or African American,Unknown,1,Destruction/Damage/Vandalism of Property,,Church/Synagogue/Temple/Mosque,Anti-Other Religion,Religious Organization,S,S
310438,2018,IL0168300,Orland Park,,City,IL,Illinois,East North Central,Midwest,3,"Cities from 50,000 thru 99,999",20-Oct-18,,,1,1,0,Black or African American,Unknown,1,Destruction/Damage/Vandalism of Property,,Church/Synagogue/Temple/Mosque,Anti-Other Religion,Religious Organization,S,S
390802,2018,IL0168300,Orland Park,,City,IL,Illinois,East North Central,Midwest,3,"Cities from 50,000 thru 99,999",19-Aug-18,,,1,1,0,Black or African American,Unknown,1,Destruction/Damage/Vandalism of Property,,Church/Synagogue/Temple/Mosque,Anti-Other Religion,Religious Organization,S,S
390904,2018,IL0168300,Orland Park,,City,IL,Illinois,East North Central,Midwest,3,"Cities from 50,000 thru 99,999",23-Jun-18,,,1,1,0,Black or African American,Unknown,2,Arson;Destruction/Damage/Vandalism of Property,,Church/Synagogue/Temple/Mosque,Anti-Other Religion,Religious Organization,M,S
293534,2018,IL0169800,Rolling Meadows,,City,IL,Illinois,East North Central,Midwest,5,"Cities from 10,000 thru 24,999",27-May-18,,,1,1,0,White,Unknown,1,Destruction/Damage/Vandalism of Property,,Parking/Drop Lot/Garage,Anti-Other Christian,Religious Organization,S,S
279236,2018,IL0190800,DeKalb,,City,IL,Illinois,East North Central,Midwest,4,"Cities from 25,000 thru 49,999",13-Mar-18,1,0,1,1,0,White,Unknown,2,Aggravated Assault;Simple Assault,1,Government/Public Building,Anti-Black or African American,Individual,M,S
280599,2018,IL0190800,DeKalb,,City,IL,Illinois,East North Central,Midwest,4,"Cities from 25,000 thru 49,999",13-Apr-18,1,0,1,1,0,White,Unknown,1,Aggravated Assault,1,Government/Public Building,Anti-Black or African American,Individual,S,S
302049,2018,IL0190800,DeKalb,,City,IL,Illinois,East North Central,Midwest,4,"Cities from 25,000 thru 49,999",22-Jul-18,1,0,1,1,0,White,Unknown,1,Intimidation,1,Parking/Drop Lot/Garage,Anti-Black or African American,Individual,S,S
293535,2018,IL0220100,Addison,,City,IL,Illinois,East North Central,Midwest,4,"Cities from 25,000 thru 49,999",23-Apr-18,1,0,1,1,0,White,Unknown,1,Simple Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic or Latino,Individual,S,S
293537,2018,IL0380100,Watseka,,City,IL,Illinois,East North Central,Midwest,6,"Cities from 2,500 thru 9,999",26-Jul-18,1,0,2,2,0,Unknown,Unknown,2,Aggravated Assault;Robbery,1,Highway/Road/Alley/Street/Sidewalk,Anti-Transgender,Individual,M,S
